"","ID","Mz"
"818",818,"021809000100600021"
"819",819,"021809000100600028"
"820",820,"021809000100600029"
"821",821,"021809000100600032A"
"822",822,"021809000100600031"
"823",823,"021809000100700012"
"824",824,"021809000100700040"
"825",825,"021809000100700039"
"826",826,"021809000100700010"
"827",827,"021809000100700011"
"828",828,"021809000100700008"
"829",829,"021809000100700016"
"830",830,"021809000100700015"
"831",831,"021809000100700014"
"832",832,"021809000100700018"
"833",833,"021809000100700019"
"834",834,"021809000100700022"
"835",835,"021809000100700056"
"836",836,"021809000100700058"
"837",837,"021809000100700055"
"838",838,"021809000100800007"
"839",839,"021809000100800005"
"840",840,"021809000100800003A"
"841",841,"021809000100800004"
"842",842,"021809000100800011"
"843",843,"021809000100800014"
"844",844,"021809000100800013"
"845",845,"021809000100800031"
"846",846,"021809000100800015"
"847",847,"021809000100800016"
"848",848,"021809000100800017"
"849",849,"021809000100800018"
"850",850,"021809000100800019"
"851",851,"021809000100800032"
"852",852,"021809000100800033"
"853",853,"021809000100800030"
"854",854,"021809000100800029"
"855",855,"021809000100800026"
"856",856,"021809000100800022"
"857",857,"021809000100800025"
"858",858,"021809000100800024"
"859",859,"021809000100800021"
"860",860,"021809000100800020"
"861",861,"021809000100800037"
"862",862,"021809000100800036"
"863",863,"021809000100800034"
"864",864,"021809000100800035"
"865",865,"021809000100800038"
"866",866,"021809000100800039"
"867",867,"021809000100800040"
"868",868,"021809000100800041"
"869",869,"021809000100900037"
"870",870,"021809000100900036"
"871",871,"021809000100900011"
"872",872,"021809000100900015B"
"873",873,"021809000100900026"
"874",874,"021809000100900018A"
"875",875,"021809000100900022"
"876",876,"021809000100900021"
"877",877,"021809000100900030"
"878",878,"021809000100900027"
"879",879,"021809000100900024"
"880",880,"021809000100900025"
"881",881,"021809000100900028"
"882",882,"021809000100900029"
"883",883,"021809000100900031"
"884",884,"021809000100900032"
"885",885,"021809000100900051B"
"886",886,"021809000100900051A"
"887",887,"021809000100900050"
"888",888,"021809000100900053"
"889",889,"021809000100900047"
"890",890,"021809000100900049"
"891",891,"021809000100900056"
"892",892,"021809000100900046"
"893",893,"021809000100900045"
"894",894,"021809000100900044"
"895",895,"021809000100900054"
"896",896,"021809000100900055"
"897",897,"021809000100900058"
"898",898,"021809000100900038"
"899",899,"021809000100900043"
"900",900,"021809000100700001D"
"901",901,"021809000100700036B"
"902",902,"021809000100700013A"
"903",903,"021809000100700013"
"904",904,"021809000101000005"
"905",905,"021809000101000006"
"906",906,"021809000101000007"
"907",907,"021809000101000008"
"908",908,"021809000101000009"
"909",909,"021809000101000010"
"910",910,"021809000101000011"
"911",911,"021809000101000012"
"912",912,"021809000101000013"
"913",913,"021809000101000014"
"914",914,"021809000101000015"
"915",915,"021809000101000016"
"916",916,"021809000101000017"
"917",917,"021809000101000032A"
"918",918,"021809000100600050A"
"919",919,"021809000100800054B"
"920",920,"021809000100800054A"
"921",921,"021809000100800032A"
"922",922,"021809000100900052A"
"923",923,"021809000100900052B"
"924",924,"021809000100900042"
"925",925,"021809000100900042A"
"926",926,"021809000101000034"
"927",927,"021809000101000035"
"928",928,"021809000101000036"
"929",929,"021809000101000037"
"930",930,"021809000101000038"
"931",931,"021809000101000039"
"932",932,"021809000100800044"
"933",933,"021809000100800043C"
"934",934,"021809000100800046"
"935",935,"021809000100800049"
"936",936,"021809000100800048A"
"937",937,"021809000100800052"
"938",938,"021809000100800057"
"939",939,"021809000100800053"
"940",940,"021809000100800058"
"941",941,"021809000100600005A"
"942",942,"021809000100600008A"
"943",943,"021809000100600007"
"944",944,"021809000100600050"
"945",945,"021809000100600009A"
"946",946,"021809000100600007A"
"947",947,"021809000100600002A"
"948",948,"021809000100600010"
"949",949,"021809000100600011"
"950",950,"021809000100600017A"
"951",951,"021809000100600012"
"952",952,"021809000100600012A"
"953",953,"021809000100600017D"
"954",954,"021809000100600017C"
"955",955,"021809000100900008A"
"956",956,"021809000100900008"
"957",957,"021809000100900012A"
"958",958,"021809000100900012"
"959",959,"021809000100900013"
"960",960,"021809000100900033"
"961",961,"021809000100900035"
"962",962,"021809000100900034"
"963",963,"021809000100900010"
"964",964,"021809000100900009"
"965",965,"021809000100900014"
"966",966,"021809000101000002F"
"967",967,"021809000101000002E"
"968",968,"021809000101000046C"
"969",969,"021809000100700006A"
"970",970,"021809000100600019A"
"971",971,"021809000100600019"
"972",972,"021809000100600056"
