fid,UBIGEO,CODDPTO,NOMBDPTO,CODPROV,NOMBPROV,CODDIST,NOMBDIST,CODCCPP,NOMCCPP,CODZONA,SUFZONA,CODMZNA,SUFMZNA,CIUDAD,IDMANZANA,ID
"2657","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",C,CHIMBOTE,02180902102034C,"2657"
"2658","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",J,CHIMBOTE,02180902102034J,"2658"
"2659","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",E,CHIMBOTE,02180902102034E,"2659"
"2660","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",K,CHIMBOTE,02180902102034K,"2660"
"2661","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",F,CHIMBOTE,02180902102034F,"2661"
"2662","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",G,CHIMBOTE,02180902102034G,"2662"
"2663","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",I,CHIMBOTE,02180902102034I,"2663"
"2664","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","034",H,CHIMBOTE,02180902102034H,"2664"
"2665","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","041",A,CHIMBOTE,02180902102041A,"2665"
"2666","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","041",B,CHIMBOTE,02180902102041B,"2666"
"2667","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","040",,CHIMBOTE,"02180902102040","2667"
"2668","021809","02",ANCASH,"18",SANTA,"09",NUEVO CHIMBOTE,"0001",BUENOS AIRES,"021","02","040",A,CHIMBOTE,02180902102040A,"2668"
